	Standard Value	Smiles	Standard Activity
176	1.995	C[C@@H]1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C	1
177	31.62	C[C@H]1CN[C@@H](CN1C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C)C	1
178	19.95	CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCN[C@@H](C5)C(C)C	1
179	1.585	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC=C(C=C4)I	1
180	6.31	CC1=C(SC2=C1C=C(C=C2Cl)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	1
181	1.995	CC1=C(C2=C(S1)C(=CC(=C2)Cl)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	1
182	0.631	CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=CC3=C(C=CN=C3C=C2)N4CCNCC4	1
183	3.981	CC1=C(OC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	1
184	1.995	CC1=C(C2=C(S1)C(=CC=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	1
185	3.162	C1CN(CCN1)C2=C3C=C(C=CC3=NC=C2)NS(=O)(=O)C4=CC=CC5=C4C=CC=C5Cl	1
186	1.585	CC(C)C1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC4=C(C=CN=C4C=C3)N5CCNCC5	1
187	2.512	CC1=CN=C2C=CC(=CC2=C1N3CCNCC3)NS(=O)(=O)C4=C(C5=C(S4)C=CC(=C5)Cl)C	1
188	1.259	CC1=CC(=C(C=C1Cl)C)S(=O)(=O)NC2=CC3=C(C=CN=C3C=C2)N4CCNCC4	1
189	1995.26	C1C[C@H]2CC(C[C@@H]1N2CC3CCC(CC3)NC(=O)/C=C/C4=CC(=C(C=C4)Cl)Cl)C5=CNC6=C5C=C(C=C6)O	1
190	79.43	C1CN(CCC1C2=CNC3=C2C=C(C=C3)O)CCCCCNC(=O)/C=C/C4=CC(=C(C=C4)Cl)Cl	1
191	7385.0	COC1=CC=CC=C1N2CCN(CC2)CC3=CNC4=C3C=CC=N4	1
192	7109.5	C1CN(CCN1CC2=CNC3=C2C=CC=N3)C4=CC=C(C=C4)C(F)(F)F	1
193	6486.5	CCCC1=CC=C(C=C1)N2CCN(CC2)CC3=CNC4=C3C=CC=N4	1
194	4460.7	CCC1=CC=C(C=C1)N2CCN(CC2)CC3=CNC4=C3C=CC=N4	1
195	1656.2	C1CN(CCN1CC2=CNC3=C2C=CC=N3)C4=CC=C(C=C4)Cl	1
196	0.7943	CC1=C(C=C(C=C1)I)NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3	1
197	0.7943	CC1(CC2=CC=CC=C2N1S(=O)(=O)C3=CC(=C(C=C3)OC)N4CCNCC4)C	1
198	0.7943	COC1=C(C=C(C=C1)S(=O)(=O)N2CCCC3=C2C=C(C=C3Cl)Cl)N4CCNCC4	1
199	7.943	CC1=CC(=C(C=C1)NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3)Br	1
200	3.981	COC1=C(C=C(C=C1)S(=O)(=O)N2CCC3=C2C=CC(=C3)I)N4CCNCC4	1
201	0.5012	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=CC(=C2)Br)Br)N3CCNCC3	1
202	3.981	CC1=CC2=C(C=C1C(F)(F)F)N(CC2)S(=O)(=O)C3=CC(=C(C=C3)OC)N4CCNCC4	1
203	2.512	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)Br)F)N3CCNCC3	1
204	2.512	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)Br)Br)N3CCNCC3	1
205	1.585	COC1=C2CCN(CC2=C(C=C1)OC)S(=O)(=O)C3=CC(=C(C=C3)OC)N4CCNCC4	1
206	0.5012	COC1=C(C=C(C=C1)S(=O)(=O)N2CCC3=C(C=CC(=C3C2)Cl)Cl)N4CCNCC4	1
207	1.259	COC1=C(C=C(C=C1)S(=O)(=O)N2CCC3=C(C2)C(=CC=C3)Cl)N4CCNCC4	1
208	1.0	CC(C)C1=CC=CC=C1NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3	1
209	1.585	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC=CC=C2Br)N3CCNCC3	1
210	1.995	CC1=CC(=C(C=C1Cl)OC)NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3	1
211	5.012	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2Cl)Cl)Cl)N3CCNCC3	1
212	3.981	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)Cl)Cl)N3CCNCC3	1
213	3.162	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)F)Cl)N3CCNCC3	1
214	1.995	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Cl)Br)Cl)N3CCNCC3	1
215	25.12	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)Cl)C(F)(F)F)N3CCNCC3	1
216	19.95	CC1=C(C=C(C=C1)[N+](=O)[O-])NS(=O)(=O)C2=CC(=C(C=C2)OC)N3CCNCC3	1
217	0.3162	COC1=C(C=C(C=C1)S(=O)(=O)N2CCCC3=C2C=C(C=C3)Br)N4CCNCC4	1
218	0.631	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=CC(=C2)Cl)Cl)N3CCNCC3	1
219	1.259	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=CC=C2)Cl)N3CCNCC3	1
220	1.259	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=CC=C2)Br)N3CCNCC3	1
221	1.995	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Cl)Cl)Cl)N3CCNCC3	1
222	2.512	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2)Cl)Cl)N3CCNCC3	1
223	1.995	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)I)N3CCNCC3	1
224	158.49	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2F)Br)F)N3CCNCC3	1
225	3.981	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Br)Cl)Br)N3CCNCC3	1
226	3.162	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C(=CC(=C2)Cl)Cl)Br)N3CCNCC3	1
227	1.0	COC1=C(C=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)Br)Br)N3CCNCC3	1
228	0.5012	COC1=C(C=C(C=C1)S(=O)(=O)NC2=CC(=CC=C2)I)N3CCNCC3	1
